Event ID,Year,Event Description,Category,Era
251,1895,Wilhelm Röntgen discovers X-rays.,Science/Tech,Modern Era
252,1895,The Lumière brothers hold the first public screening of a motion picture.,Arts/Culture,Modern Era
253,1896,"The modern Olympic Games are revived in Athens, Greece.",Arts/Culture,Modern Era
254,1897,J.J. Thomson discovers the electron.,Science/Tech,Modern Era
255,1898,"The Spanish-American War begins, leading to U.S. acquisition of Puerto Rico, Guam, and the Philippines.",Politics/War,Modern Era
256,1898,Marie and Pierre Curie discover radium and polonium.,Science/Tech,Modern Era
257,1900,"Max Planck proposes the concept of the quantum, launching quantum mechanics.",Science/Tech,Modern Era
258,1900,Sigmund Freud publishes The Interpretation of Dreams.,Arts/Culture,Modern Era
259,1901,"The first Nobel Prizes are awarded in Stockholm, Sweden.",Civilization,Modern Era
260,1901,Guglielmo Marconi sends the first transatlantic radio signal.,Science/Tech,Modern Era
458,1902,The teddy bear is invented by Morris and Rose Michtom.,Arts/Culture,Modern Era
261,1903,"The Wright brothers make the first sustained, controlled, powered airplane flight at Kitty Hawk, North Carolina.",Science/Tech,Modern Era
262,1904,The Russo-Japanese War begins.,Politics/War,Modern Era
263,1905,"Albert Einstein publishes his theory of special relativity, including the equation E=mc2.",Science/Tech,Modern Era
264,1907,"Leo Baekeland invents Bakelite, the first fully synthetic plastic.",Science/Tech,Modern Era
265,1908,"Henry Ford introduces the Model T automobile, making cars affordable for the masses.",Science/Tech,Modern Era
459,1908,Cellophane is invented by Jacques E. Brandenberger.,Science/Tech,Modern Era
266,1909,"The Haber-Bosch process is invented, allowing for the industrial production of ammonia for fertilizers.",Science/Tech,Modern Era
267,1911,Roald Amundsen's expedition becomes the first to reach the South Pole.,Exploration,Modern Era
268,1911,The Xinhai Revolution overthrows the Qing Dynasty in China.,Politics/War,Modern Era
269,1912,"The Republic of China is established, ending centuries of imperial rule.",Politics/War,Modern Era
270,1912,The passenger liner RMS Titanic sinks on its maiden voyage.,Civilization,Modern Era
271,1913,"The moving assembly line is introduced by Henry Ford, revolutionizing manufacturing.",Science/Tech,Modern Era
460,1913,The Bergius process for producing synthetic fuel from coal is developed.,Science/Tech,Modern Era
272,1914,World War I begins after the assassination of Archduke Franz Ferdinand of Austria in Sarajevo.,Politics/War,Modern Era
273,1914,"The Panama Canal opens, connecting the Atlantic and Pacific Oceans.",Science/Tech,Modern Era
274,1915,Albert Einstein publishes his theory of general relativity.,Science/Tech,Modern Era
275,1915,The first use of poison gas in warfare occurs at the Second Battle of Ypres.,Politics/War,Modern Era
276,1916,"The Battle of the Somme, one of the bloodiest battles in history, begins.",Politics/War,Modern Era
277,1917,"The Russian Revolution begins, leading to the overthrow of the Tsar and the rise of the Bolsheviks.",Politics/War,Modern Era
278,1917,The United States enters World War I.,Politics/War,Modern Era
279,1918,World War I ends with the signing of the armistice on November 11th.,Politics/War,Modern Era
280,1918,"The Spanish Flu pandemic begins, ultimately killing an estimated 50 million people worldwide.",Civilization,Modern Era
281,1919,"The Treaty of Versailles is signed, formally ending World War I and imposing harsh terms on Germany.",Politics/War,Modern Era
282,1919,The League of Nations is founded in Paris to promote international peace.,Politics/War,Modern Era
283,1920,"The 19th Amendment to the U.S. Constitution is ratified, granting women the right to vote.",Politics/War,Modern Era
284,1921,Adolf Hitler becomes the leader of the Nazi Party in Germany.,Politics/War,Modern Era
285,1922,"The Ottoman Sultanate is abolished, and the Republic of Turkey is later established.",Politics/War,Modern Era
286,1922,Howard Carter discovers the tomb of Tutankhamun in Egypt.,Exploration,Modern Era
287,1923,Time magazine is published for the first time.,Arts/Culture,Modern Era
288,1924,"Vladimir Lenin dies, and Joseph Stalin begins his consolidation of power in the Soviet Union.",Politics/War,Modern Era
289,1925,Benito Mussolini gains dictatorial powers in Italy.,Politics/War,Modern Era
290,1926,Robert H. Goddard launches the first liquid-fueled rocket.,Science/Tech,Modern Era
291,1927,"Charles Lindbergh completes the first solo, non-stop transatlantic flight.",Exploration,Modern Era
461,1927,"The quartz clock is invented, providing a new standard of timekeeping accuracy.",Science/Tech,Modern Era
292,1928,"Alexander Fleming discovers penicillin, the first antibiotic.",Science/Tech,Modern Era
293,1928,Mickey Mouse is created at the Walt Disney Studio.,Arts/Culture,Modern Era
294,1929,"The Wall Street Crash of 1929 occurs, triggering the Great Depression.",Civilization,Modern Era
295,1930,The first FIFA World Cup is hosted in Uruguay.,Arts/Culture,Modern Era
462,1930,The jet engine is designed by Frank Whittle.,Science/Tech,Modern Era
296,1931,The Empire State Building is completed in New York City.,Civilization,Modern Era
297,1932,"Franklin D. Roosevelt is elected President of the United States, promising a ""New Deal"".",Politics/War,Modern Era
298,1933,Adolf Hitler is appointed Chancellor of Germany.,Politics/War,Modern Era
299,1935,The Social Security Act is signed into law in the United States.,Civilization,Modern Era
463,1935,"Nylon, the first fully synthetic fiber, is produced by Wallace Carothers at DuPont.",Science/Tech,Modern Era
300,1936,The Spanish Civil War begins.,Politics/War,Modern Era
301,1937,"The Japanese invasion of China begins, marking the start of World War II in Asia.",Politics/War,Modern Era
302,1938,Nuclear fission is discovered by Otto Hahn and Fritz Strassmann.,Science/Tech,Modern Era
464,1938,"The first ballpoint pen to be commercially successful, the Bíró, is patented.",Science/Tech,Modern Era
303,1939,"Nazi Germany invades Poland, beginning World War II in Europe.",Politics/War,Modern Era
304,1940,Winston Churchill becomes Prime Minister of the United Kingdom.,Politics/War,Modern Era
305,1941,"Japan attacks the U.S. naval base at Pearl Harbor, bringing the United States into World War II.",Politics/War,Modern Era
306,1942,The Manhattan Project to develop the atomic bomb begins in the United States.,Science/Tech,Modern Era
307,1943,"The Battle of Stalingrad ends with a decisive Soviet victory, a turning point in World War II.",Politics/War,Modern Era
465,1943,The Slinky toy is invented by Richard T. James.,Arts/Culture,Modern Era
308,1944,"Allied forces land in Normandy on D-Day, opening a second front in Western Europe.",Politics/War,Modern Era
309,1945,World War II ends in Europe (V-E Day) following Germany's surrender.,Politics/War,Modern Era
310,1945,"The United States drops atomic bombs on Hiroshima and Nagasaki, Japan.",Politics/War,Modern Era
311,1945,The United Nations is founded to promote international peace and security.,Politics/War,Modern Era
466,1945,The microwave oven is patented by Percy Spencer.,Science/Tech,Modern Era
312,1946,The first images of Earth are taken from space by a V-2 rocket.,Exploration,Modern Era
467,1946,The bikini swimsuit is introduced by Louis Réard in Paris.,Arts/Culture,Modern Era
313,1947,"The transistor is invented at Bell Labs, a key component of modern electronics.",Science/Tech,Modern Era
314,1947,India and Pakistan gain independence from British rule.,Politics/War,Modern Era
468,1947,Holography is invented by Dennis Gabor.,Science/Tech,Modern Era
315,1948,"The state of Israel is established, leading to the first Arab-Israeli War.",Politics/War,Modern Era
316,1948,The Universal Declaration of Human Rights is adopted by the United Nations.,Civilization,Modern Era
317,1948,Apartheid is implemented as official policy in South Africa.,Politics/War,Modern Era
318,1949,The North Atlantic Treaty Organization (NATO) is formed.,Politics/War,Modern Era
319,1949,The People's Republic of China is established under the leadership of Mao Zedong.,Politics/War,Modern Era
469,1949,The first LEGO plastic bricks are produced.,Arts/Culture,Modern Era
320,1950,The Korean War begins.,Politics/War,Modern Era
321,1952,The first hydrogen bomb is detonated by the United States.,Science/Tech,Modern Era
322,1953,James Watson and Francis Crick describe the double helix structure of DNA.,Science/Tech,Modern Era
323,1953,Edmund Hillary and Tenzing Norgay become the first to reach the summit of Mount Everest.,Exploration,Modern Era
470,1953,The first video tape recorder is invented by Norikazu Sawazaki.,Science/Tech,Modern Era
324,1954,The U.S. Supreme Court rules in Brown v. Board of Education that racial segregation in public schools is unconstitutional.,Politics/War,Modern Era
325,1954,The first nuclear power plant generates electricity in the Soviet Union.,Science/Tech,Modern Era
471,1954,The first solar battery is invented by scientists at Bell Labs.,Science/Tech,Modern Era
326,1955,The Warsaw Pact is signed by the Soviet Union and its Eastern Bloc allies.,Politics/War,Modern Era
327,1955,The Montgomery Bus Boycott begins after Rosa Parks is arrested for refusing to give up her seat.,Civilization,Modern Era
472,1955,The hovercraft is patented by Christopher Cockerell.,Science/Tech,Modern Era
473,1956,The hard disk drive is invented by IBM.,Science/Tech,Modern Era
328,1957,"The Soviet Union launches Sputnik 1, the first artificial satellite, beginning the Space Age.",Exploration,Modern Era
329,1958,The National Aeronautics and Space Administration (NASA) is established in the United States.,Exploration,Modern Era
330,1958,The integrated circuit (microchip) is independently invented by Jack Kilby and Robert Noyce.,Science/Tech,Modern Era
474,1958,The hula hoop becomes a major fad in the United States.,Arts/Culture,Modern Era
331,1959,The Cuban Revolution concludes with Fidel Castro coming to power.,Politics/War,Modern Era
475,1959,The Barbie doll is launched by Mattel.,Arts/Culture,Modern Era
332,1960,The first laser is successfully operated by Theodore Maiman.,Science/Tech,Modern Era
333,1960,"The Greensboro sit-ins begin, a key event in the American Civil Rights Movement.",Civilization,Modern Era
334,1961,Yuri Gagarin of the Soviet Union becomes the first human to travel into space.,Exploration,Modern Era
335,1961,"The Berlin Wall is constructed, physically dividing East and West Berlin.",Politics/War,Modern Era
336,1962,The Cuban Missile Crisis brings the United States and the Soviet Union to the brink of nuclear war.,Politics/War,Modern Era
337,1963,"Martin Luther King Jr. delivers his ""I Have a Dream"" speech during the March on Washington.",Civilization,Modern Era
338,1963,"President John F. Kennedy is assassinated in Dallas, Texas.",Politics/War,Modern Era
476,1963,The first electronic cigarette is created by Herbert A. Gilbert.,Science/Tech,Modern Era
339,1964,"The Civil Rights Act is signed into law in the United States, outlawing discrimination.",Politics/War,Modern Era
477,1964,The BASIC programming language is created at Dartmouth College.,Science/Tech,Modern Era
340,1965,"The Voting Rights Act is signed into law in the United States, protecting African American voting rights.",Politics/War,Modern Era
478,1965,Kevlar is invented by Stephanie Kwolek at DuPont.,Science/Tech,Modern Era
341,1966,The Cultural Revolution begins in China under Mao Zedong.,Politics/War,Modern Era
342,1967,The first successful human heart transplant is performed by Christiaan Barnard.,Science/Tech,Modern Era
343,1968,"Martin Luther King Jr. is assassinated in Memphis, Tennessee.",Politics/War,Modern Era
344,1969,"The U.S. Apollo 11 mission lands the first humans, Neil Armstrong and Buzz Aldrin, on the Moon.",Exploration,Modern Era
345,1969,"ARPANET, the precursor to the Internet, is established.",Science/Tech,Modern Era
479,1970,The pocket calculator is invented.,Science/Tech,Modern Era
346,1971,"The Intel 4004, the first commercial microprocessor, is released.",Science/Tech,Modern Era
480,1971,The first floppy disk and drive are released by IBM.,Science/Tech,Modern Era
347,1972,"The Watergate scandal begins, leading to the resignation of President Richard Nixon.",Politics/War,Modern Era
481,1972,"The first home video game console, the Magnavox Odyssey, is released.",Arts/Culture,Modern Era
348,1973,"The first space station, Skylab, is launched by the United States.",Exploration,Modern Era
349,1973,The Yom Kippur War begins between Israel and a coalition of Arab states.,Politics/War,Modern Era
482,1974,The Rubik's Cube is invented by Ernő Rubik.,Arts/Culture,Modern Era
483,1974,The lithium-ion battery is invented by M. Stanley Whittingham.,Science/Tech,Modern Era
350,1975,The Vietnam War ends with the fall of Saigon.,Politics/War,Modern Era
351,1975,The first Cricket World Cup is hosted.,Arts/Culture,Modern Era
352,1976,The first outbreak of the Ebola virus is identified in Zaire.,Science/Tech,Modern Era
353,1977,"The Apple II computer is released, one of the first successful personal computers.",Science/Tech,Modern Era
354,1977,The Voyager 1 and 2 space probes are launched to study the outer solar system.,Exploration,Modern Era
355,1978,"The first ""test-tube baby,"" Louise Brown, is born via in vitro fertilization (IVF).",Science/Tech,Modern Era
484,1978,The Global Positioning System (GPS) enters service.,Science/Tech,Modern Era
356,1979,The Iranian Revolution overthrows the Shah and establishes an Islamic republic.,Politics/War,Modern Era
357,1979,Margaret Thatcher becomes the first female Prime Minister of the United Kingdom.,Politics/War,Modern Era
485,1979,"The Sony Walkman, the first portable music player, is released.",Science/Tech,Modern Era
358,1980,The World Health Organization declares smallpox to have been eradicated globally.,Science/Tech,Modern Era
486,1980,Flash memory is invented by Fujio Masuoka at Toshiba.,Science/Tech,Modern Era
359,1981,"The first Space Shuttle mission, STS-1, is launched by NASA.",Exploration,Modern Era
360,1981,The first cases of AIDS are identified by researchers.,Science/Tech,Modern Era
487,1982,The first commercially available compact disc (CD) player is released by Sony.,Science/Tech,Modern Era
361,1983,The Internet's Domain Name System (DNS) is created.,Science/Tech,Modern Era
488,1983,Stereolithography (3D printing) is invented by Chuck Hull.,Science/Tech,Modern Era
362,1984,"The first Apple Macintosh computer is released, popularizing the graphical user interface.",Science/Tech,Modern Era
489,1984,"The first commercially available cell phone, the Motorola DynaTAC 8000X, is created.",Science/Tech,Modern Era
363,1985,"Mikhail Gorbachev becomes leader of the Soviet Union, initiating reforms of glasnost and perestroika.",Politics/War,Modern Era
364,1985,The first use of DNA fingerprinting in a criminal case occurs.,Science/Tech,Modern Era
365,1986,The Chernobyl nuclear disaster occurs in the Soviet Union.,Civilization,Modern Era
366,1986,The Space Shuttle Challenger explodes shortly after liftoff.,Exploration,Modern Era
367,1989,"The Berlin Wall falls, symbolizing the beginning of the end of the Cold War.",Politics/War,Modern Era
368,1989,"Pro-democracy protests in Tiananmen Square, Beijing, are suppressed by the Chinese government.",Politics/War,Modern Era
490,1989,The Game Boy handheld game console is released by Nintendo.,Arts/Culture,Modern Era
369,1990,Tim Berners-Lee invents the World Wide Web.,Science/Tech,Modern Era
370,1990,The Hubble Space Telescope is launched into orbit.,Exploration,Modern Era
371,1990,Nelson Mandela is released from prison in South Africa after 27 years.,Politics/War,Modern Era
372,1991,"The Soviet Union is officially dissolved, ending the Cold War.",Politics/War,Modern Era
373,1991,The first website is put online and made available to the public.,Science/Tech,Modern Era
491,1991,The first commercial flash-based solid-state drive (SSD) is launched.,Science/Tech,Modern Era
374,1992,"The Maastricht Treaty is signed, creating the European Union.",Politics/War,Modern Era
375,1993,The Velvet Divorce peacefully splits Czechoslovakia into the Czech Republic and Slovakia.,Politics/War,Modern Era
376,1994,"The first democratic, multiracial elections are held in South Africa, with Nelson Mandela elected president.",Politics/War,Modern Era
377,1994,"The Rwandan genocide occurs, resulting in the deaths of approximately 800,000 people.",Politics/War,Modern Era
492,1994,The first generation of Bluetooth wireless technology is developed.,Science/Tech,Modern Era
378,1995,The World Trade Organization (WTO) is established.,Civilization,Modern Era
379,1995,"The Dayton Agreement is signed, ending the Bosnian War.",Politics/War,Modern Era
493,1995,The DVD format is invented and developed.,Science/Tech,Modern Era
380,1996,"Dolly the sheep, the first mammal to be cloned from an adult cell, is born.",Science/Tech,Modern Era
494,1996,"The first social media site, Six Degrees, is launched.",Science/Tech,Modern Era
381,1997,The United Kingdom transfers sovereignty of Hong Kong to China.,Politics/War,Modern Era
382,1997,The Kyoto Protocol is adopted to combat climate change.,Politics/War,Modern Era
383,1998,Google is founded by Larry Page and Sergey Brin.,Science/Tech,Modern Era
384,1998,The International Space Station (ISS) begins construction in orbit.,Exploration,Modern Era
495,1998,The first portable MP3 player is released.,Science/Tech,Modern Era
385,1999,The Euro currency is introduced in 11 European Union countries.,Civilization,Modern Era
386,2000,The Human Genome Project completes a draft of the human genome.,Science/Tech,Modern Era
496,2000,The first camera phone is introduced in Japan by Sharp.,Science/Tech,Modern Era
387,2001,Terrorist attacks on September 11th destroy the World Trade Center in New York and damage the Pentagon.,Politics/War,Modern Era
388,2001,"Wikipedia, a free online encyclopedia, is founded.",Arts/Culture,Modern Era
497,2002,The first Roomba autonomous vacuum cleaner is released.,Science/Tech,Modern Era
389,2003,"The United States leads an invasion of Iraq, beginning the Iraq War.",Politics/War,Modern Era
390,2003,"The Space Shuttle Columbia disintegrates upon re-entry, killing all seven astronauts.",Exploration,Modern Era
391,2004,The social media platform Facebook is launched by Mark Zuckerberg.,Science/Tech,Modern Era
392,2004,"The Indian Ocean earthquake and tsunami kills over 230,000 people.",Civilization,Modern Era
393,2005,Angela Merkel becomes the first female Chancellor of Germany.,Politics/War,Modern Era
394,2005,The video-sharing platform YouTube is launched.,Science/Tech,Modern Era
395,2006,The social media platform Twitter is launched.,Science/Tech,Modern Era
498,2006,"The Nintendo Wii is released, popularizing motion-controlled gaming.",Arts/Culture,Modern Era
396,2007,"Apple releases the first iPhone, revolutionizing the mobile phone industry.",Science/Tech,Modern Era
397,2008,"A global financial crisis begins, triggered by the collapse of the U.S. housing market.",Civilization,Modern Era
398,2008,Barack Obama is elected as the first African American President of the United States.,Politics/War,Modern Era
399,2009,"The world's tallest skyscraper, the Burj Khalifa, is completed in Dubai.",Civilization,Modern Era
400,2010,"The Arab Spring, a series of pro-democracy uprisings, begins across the Middle East and North Africa.",Politics/War,Modern Era
401,2010,The largest oil spill in U.S. history occurs in the Gulf of Mexico after the Deepwater Horizon explosion.,Civilization,Modern Era
499,2010,"The first iPad is released by Apple, popularizing the tablet computer.",Science/Tech,Modern Era
402,2011,"U.S. forces kill Osama bin Laden, the leader of al-Qaeda, in Pakistan.",Politics/War,Modern Era
403,2012,The Higgs boson particle is discovered at CERN's Large Hadron Collider.,Science/Tech,Modern Era
404,2013,"Pope Francis is elected, becoming the first pope from the Americas.",Arts/Culture,Modern Era
405,2014,"Russia annexes Crimea from Ukraine, leading to international condemnation.",Politics/War,Modern Era
406,2015,The Paris Agreement on climate change is adopted by nearly every country in the world.,Politics/War,Modern Era
407,2015,The CRISPR-Cas9 gene-editing method is first used on human embryos.,Science/Tech,Modern Era
408,2016,"The United Kingdom votes to leave the European Union in the ""Brexit"" referendum.",Politics/War,Modern Era
500,2016,"The augmented reality game Pokémon Go is released, becoming a global phenomenon.",Arts/Culture,Modern Era
409,2017,The first detection of a gravitational wave from a neutron star merger is announced.,Science/Tech,Modern Era
410,2019,The first image of a black hole is captured by the Event Horizon Telescope.,Science/Tech,Modern Era
411,2020,The World Health Organization declares the COVID-19 outbreak a global pandemic.,Civilization,Modern Era
412,2020,The first mRNA vaccines for COVID-19 are developed and approved for public use.,Science/Tech,Modern Era
413,2021,"The James Webb Space Telescope is launched, succeeding the Hubble Space Telescope.",Exploration,Modern Era
414,2022,Russia launches a full-scale invasion of Ukraine.,Politics/War,Modern Era
415,2022,"The generative AI model ChatGPT is launched to the public, sparking widespread interest in artificial intelligence.",Science/Tech,Modern Era
